uid,address,last_modified,title,description,new_page,filename_updated,division,collection,publication,osh,,,,,,,,,,
L0557,http://www.nclabor.com/osha/etta/exampleprograms/Orientation_Checklist.doc,"Thu, 05 Jun 2014 00:28:26 GMT",Employee Orientation Checklist,This document contains a customizable example checklist for employee safety orientation and training.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0411,http://www.nclabor.com/osha/compliance/publicopn/opn107b.pdf,"Fri, 21 Nov 2014 00:04:40 GMT",Enforcement Guidelines for the Hazardous Chemicals Right to Know Act,Enforcement Guidelines for the Hazardous Chemicals Right to Know Act,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0389,http://www.nclabor.com/osha/compliance/directives/CPL_02-01-040.pdf,"Wed, 30 Dec 2009 20:04:29 GMT",Enforcement policy on column joists,Enforcement policy on column joists,N,N,OSH,OSH Enforcement Procedures,,Compliance Directive,,,,,,,,,,
L0783,http://www.nclabor.com/posters/English/EEOC%20Poster%20-%20English.pdf,"Tue, 08 Dec 2009 21:23:20 GMT",Equal Opportunity is the Law Poster,This is a required poster by the Equal Employment Opportunity Commission.,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0482,http://www.nclabor.com/osha/etta/brochures/br300.pdf,"Wed, 01 Mar 2017 22:08:57 GMT",ETTA Brochure,Brochure with an overview of ETTA,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0698,http://www.nclabor.com/osha/PublicSN/SN38B.pdf,"Wed, 01 Jun 2011 20:17:34 GMT",Eye and Face Protection for Chemical Use,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0703,http://www.nclabor.com/osha/PublicSN/SN55A.pdf,"Wed, 06 Sep 2006 17:14:22 GMT",Facial hair and respirator use,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0515,http://www.nclabor.com/osha/etta/exampleprograms/Fall_Protection_Certificate_of_Training.doc|http://www.nclabor.com/osha/etta/exampleprograms/fall_training_record_sp.doc,"Thu, 10 Jul 2014 20:01:02 GMT",Fall Protection Certificate of Training,These documents are customizable example certificates of fall protection training.  The certificates are available in English and Spanish.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0717,http://www.nclabor.com/osha/PublicSN/SN74.pdf,"Mon, 06 Jul 2009 19:57:35 GMT","Fall protection requirements for work involving dry laid masonry retaining walls, 29 CFR 1926.501 (Subpart M)",,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0784,http://www.nclabor.com/posters/English/FMLA_Poster_English.pdf,"Wed, 06 Mar 2013 01:45:18 GMT",Family Medical Leave Act Poster,This poster contains required information on the Family Medical Leave Act.,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0396,http://www.nclabor.com/osha/compliance/publicfom/fom04g.pdf,"Thu, 07 Jul 2016 19:53:27 GMT","Field Operations Manual  Chapter IV - Violations","Field Operations Manual  Chapter IV - Violations",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0401,http://www.nclabor.com/osha/compliance/publicfom/fom09p.pdf,"Fri, 08 Jul 2016 22:47:22 GMT","Field Operations Manual  Chapter IX  Complaints, Referrals and Accidents ","Field Operations Manual  Chapter IX  Complaints, Referrals and Accidents ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0397,http://www.nclabor.com/osha/compliance/publicfom/fom05h.pdf,"Thu, 07 Jul 2016 19:03:33 GMT","Field Operations Manual  Chapter V - Citations","Field Operations Manual  Chapter V - Citations",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0398,http://www.nclabor.com/osha/compliance/publicfom/fom06o.pdf,"Thu, 05 Feb 2015 00:00:53 GMT","Field Operations Manual  Chapter VI - Penalties ","Field Operations Manual  Chapter VI - Penalties ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0399,http://www.nclabor.com/osha/compliance/publicfom/fom07a.pdf,"Fri, 01 Nov 2013 22:08:41 GMT","Field Operations Manual  Chapter VII  Imminent Danger ","Field Operations Manual  Chapter VII  Imminent Danger ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0400,http://www.nclabor.com/osha/compliance/publicfom/fom08o.pdf,"Thu, 07 Jul 2016 19:05:27 GMT","Field Operations Manual  Chapter VIII  Fatality and Catastrophe Investigations","Field Operations Manual  Chapter VIII  Fatality and Catastrophe Investigations",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0402,http://www.nclabor.com/osha/compliance/publicfom/fom10c.pdf,"Fri, 01 Nov 2013 21:13:49 GMT","Field Operations Manual  Chapter X  Discrimination Complaints ","Field Operations Manual  Chapter X  Discrimination Complaints ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0403,http://www.nclabor.com/osha/compliance/publicfom/fom11j.pdf,"Fri, 07 Oct 2016 22:36:54 GMT","Field Operations Manual  Chapter XI  Agricultural Safety and Health Inspections ","Field Operations Manual  Chapter XI  Agricultural Safety and Health Inspections ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0404,http://www.nclabor.com/osha/compliance/publicfom/fom12e.pdf,"Mon, 28 Sep 2015 22:04:38 GMT","Field Operations Manual  Chapter XII  Construction ","Field Operations Manual  Chapter XII  Construction ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0405,http://www.nclabor.com/osha/compliance/publicfom/fom13p.pdf,"Thu, 07 Jul 2016 19:24:31 GMT","Field Operations Manual  Chapter XIII  Informal Conferences, Contested Cases and Disclosures ","Field Operations Manual  Chapter XIII  Informal Conferences, Contested Cases and Disclosures ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0406,http://www.nclabor.com/osha/compliance/publicfom/fom14e.pdf,"Fri, 22 Aug 2014 20:31:04 GMT","Field Operations Manual  Chapter XIV  Safety and Health Programs and Committees ","Field Operations Manual  Chapter XIV  Safety and Health Programs and Committees ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0408,http://www.nclabor.com/osha/compliance/publicfom/fom17c.pdf,"Wed, 16 Mar 2011 21:10:52 GMT","Field Operations Manual  Chapter XVII - Ergonomics Inspection Procedures ","Field Operations Manual  Chapter XVII - Ergonomics Inspection Procedures ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0409,http://www.nclabor.com/osha/compliance/publicfom/fom18.pdf,"Fri, 04 Nov 2011 00:04:48 GMT","Field Operations Manual  Chapter XVIII  Maritime Inspection Procedures ","Field Operations Manual  Chapter XVIII  Maritime Inspection Procedures ",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0407,http://www.nclabor.com/osha/compliance/publicfom/fom15h.pdf,"Fri, 07 Oct 2016 22:36:54 GMT","Field Operations Manual _ Chapter XV  Industrial Hygiene Compliance","Field Operations Manual _ Chapter XV  Industrial Hygiene Compliance",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0395,http://www.nclabor.com/osha/compliance/publicfom/fom03v.pdf,"Thu, 07 Jul 2016 19:53:27 GMT",Field Operations Manual Chapter III - Inspection Procedures,Field Operations Manual Chapter III - Inspection Procedures,N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0519,http://www.nclabor.com/osha/etta/exampleprograms/First_Aid_(BBP_exempt)_Policy.doc,"Thu, 10 Jul 2014 20:01:28 GMT",First Aid Policy,This document contains a customizable example first aid policy.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0521,http://www.nclabor.com/osha/etta/exampleprograms/Floor_Maintenance_Policy.doc,"Thu, 10 Jul 2014 20:02:00 GMT",Floor Maintenance Policy,This document contains a customizable example floor maintenance policy.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0433,http://www.nclabor.com/osha/compliance/publicopn/opn96d.pdf,"Thu, 02 Feb 2012 21:14:16 GMT",Focused Inspections in Construction," This OPN establishes the N. C. Department of Labor, Occupational Safety and Health Division policy for focused inspections of construction sites and provides instructions regarding when focused inspections are authorized and required. This document also provides supplementary procedures beyond the standard inspection protocol set forth in the N. C. Field Operations Manual. ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0523,http://www.nclabor.com/osha/etta/exampleprograms/Forklift_Inspection_Checklist.doc,"Thu, 10 Jul 2014 21:21:57 GMT",Forklift Inspection Program,This document contains a customizable example checklist for forklift inspections.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0023,http://www.nclabor.com/ash/publications/Forklift_Safety_Broch.pdf,"Mon, 12 May 2008 13:53:37 GMT",Forklift Safety Brochure,Brochure on guidlines for forklift safety in English,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0509,http://www.nclabor.com/osha/etta/exampleprograms/Crawler_Locomotive_and_Truck_Cranes_Inspection.doc,"Thu, 10 Jul 2014 19:57:30 GMT",General Industry Crane Inspection,"This document contains a customizable example checklist for inspecting crawler, locomotive and truck cranes.",N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0525,http://www.nclabor.com/osha/etta/exampleprograms/General_Industry_Safety_and_Health_Policy.doc,"Thu, 10 Jul 2014 20:06:46 GMT",General Industry Safety and Health Policy,This document contains a customizable example safety and health policy for workplaces in general industry.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0484,http://www.nclabor.com/osha/etta/brochures/br400.pdf,"Thu, 09 Jul 2015 20:50:46 GMT",Green Tobacco Sickness Brochure,Brochure with an overview of Green Tobacco Sickness,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0609,http://www.nclabor.com/osha/etta/indguide/ig41span.pdf,"Mon, 17 Feb 2014 18:55:29 GMT",Guia OSHA para Pequena Empresa en Carolina del Norte Industry Guide 41s,,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
L0026,http://www.nclabor.com/ash/publications/Mower_Safety.pdf,"Tue, 13 Oct 2015 22:06:45 GMT",Hazard Alert Mowers for Greenhouse Use,Hazard Alert detailing unsafe modification of mowers for greenhouse use,N,N,ASH,Publications,OSH Hazard Alerts,,,,,,,,,,,
L0585,http://www.nclabor.com/osha/etta/hazard_alerts/ha1750.pdf,"Thu, 16 Jul 2015 16:44:37 GMT",Hazard Alert Tobacco Harvester,Hazard Alert Tobacco Harvester,N,N,OSH,Publications,OSH Hazard Alerts,,,,,,,,,,,
L0582,http://www.nclabor.com/osha/etta/hazard_alerts/ha1100.pdf,"Tue, 28 Mar 2017 00:20:56 GMT",Hazard Alert--Firefighters,Hazard Alert--Firefighters,N,N,OSH,Publications,OSH Hazard Alerts,,,,,,,,,,,
L0584,http://www.nclabor.com/osha/etta/hazard_alerts/ha1475.pdf,"Fri, 07 Apr 2017 19:21:08 GMT",Hazard Alert--Greenhouse,Hazard Alert--Greenhouse,N,N,OSH,Publications,OSH Hazard Alerts,,,,,,,,,,,
L0583,http://www.nclabor.com/osha/etta/hazard_alerts/ha1350.pdf,"Mon, 16 May 2016 23:28:51 GMT",Hazard Alert--Heat Stress,Hazard Alert--Heat Stress,N,N,OSH,Publications,OSH Hazard Alerts,,,,,,,,,,,
L0586,http://www.nclabor.com/osha/etta/hazard_alerts/ha1750s.pdf,"Wed, 22 Jul 2015 21:40:08 GMT",Hazard Alert--Tobacco Harvester--Spanish,Hazard Alert--Tobacco Harvester--Spanish,N,N,OSH,Publications,OSH Hazard Alerts,,,,,,,,,,,
L0527,http://www.nclabor.com/osha/etta/exampleprograms/Hazard_Communication_Program.doc,"Fri, 16 Dec 2016 20:18:52 GMT",Hazard Communication Program,This document contains a customizable example program for hazard communication.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0529,http://www.nclabor.com/osha/etta/exampleprograms/Hazardous_Chemical.doc,"Thu, 10 Jul 2014 20:14:56 GMT",Hazardous Chemical Program,This document contains a customizable example program for workplaces with employee exposure to a specific hazardous chemical.  The program is designed to assist employers in ensuring employees are not overexposed to the chemical.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0485,http://www.nclabor.com/osha/etta/brochures/br500.pdf,"Fri, 20 Nov 2015 23:50:42 GMT",Hazardous Chemicals Brochure,Brochure with an overview of Hazardous Chemicals,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0533,http://www.nclabor.com/osha/etta/exampleprograms/Hazardous_Waste_Plan_Guidelines.doc,"Thu, 10 Jul 2014 20:12:47 GMT",Hazardous Waste Operations Plan Guidelines,This document contains guidelines for developing a hazardous waste plan.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0531,http://www.nclabor.com/osha/etta/exampleprograms/Hazardous_Waste_Operations_Policy.doc,"Thu, 10 Jul 2014 20:11:07 GMT",Hazardous Waste Operations Policy,This document contains a customizable example policy for hazardous waste operations.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0487,http://www.nclabor.com/osha/etta/brochures/br800.pdf,"Mon, 31 Aug 2015 21:43:31 GMT",Hazards and Leading Injuries at Long Term Care Facilities Brochure,Brochure with an overview of Hazards and leading injuries at long term care facilities,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0535,http://www.nclabor.com/osha/etta/exampleprograms/Hearing_Conservation_Program.doc,"Thu, 10 Jul 2014 20:21:26 GMT",Hearing Conservation,This document contains a customizable example program for hearing conservation.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0025,http://www.nclabor.com/ash/publications/Heat_Stress_Broch.pdf,"Wed, 04 Jan 2012 00:09:24 GMT",Heat Stress Brochure,Brochure on guidlines for Heat Stress,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0704,http://www.nclabor.com/osha/PublicSN/SN56B.pdf,"Tue, 23 Feb 2016 19:46:49 GMT",Heavy and Light Duty Pneumatic Staplers,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0537,http://www.nclabor.com/osha/etta/exampleprograms/Hot_Work_Permit.doc,"Thu, 10 Jul 2014 20:22:34 GMT",Hot Work Permit,This document contains a customizable example hot work permit.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0097,http://www.nclabor.com/edb/OSH_Discrimination_Manual.pdf,"Fri, 18 Nov 2016 00:38:43 GMT",http://www.nclabor.com/edb/OSH_Discrimination_Manual.pdf,,N,N,OSH,Manuals,,,,,,,,,,,,
L0193,http://www.nclabor.com/elevator/ndt_testing_memo.pdf,"Thu, 08 Dec 2005 23:52:32 GMT",http://www.nclabor.com/elevator/ndt_testing_memo.pdf,,N,N,Elevator,,,,,,,,,,,,,
L0425,http://www.nclabor.com/osha/compliance/publicopn/opn144a.pdf,"Tue, 02 Dec 2014 21:59:40 GMT",In-compliance Letters and Certificates," This operational procedure notice (OPN) establishes the N.C. Department of Labor, Occupational Safety and Health (OSH) Division policy for issuing in-compliance letters and certificates to employers when compliance inspections result in no citations. ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0137,http://www.nclabor.com/elevator/Memos/Annual_Inflatable_Inspections_Jan312016.pdf,"Thu, 18 Feb 2016 23:40:39 GMT",Inflatable Device Certification Expiration Notice,notice of new expiration date pertaining to certificates of inflatable devices,N,N,Elevator,,,,,,,,,,,,,
L0201,http://www.nclabor.com/elevator/online_forms/inflatable_devices_procedures.pdf,"Mon, 17 Jul 2006 16:11:43 GMT",Inflatable Devices Operating Procedures,inflatable devices operating procedures,N,N,Elevator,,,,,,,,,,,,,
L0028,http://www.nclabor.com/ash/safetytips/stings_bee.pdf,"Tue, 07 Nov 2006 13:20:51 GMT","Insect Bites and Stings: Bee, Wasp and Hornet Stings Brochure",Brochure detailingsigns and symptoms and treatment of insect bites and stings,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0030,http://www.nclabor.com/ash/safetytips/stings_spiders.pdf,"Tue, 07 Nov 2006 13:20:55 GMT",Insect Bites and Stings: Spider Bites Brochure,Brochure detailing signs and symptoms and treatment of spider bites,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0031,http://www.nclabor.com/ash/safetytips/stings_ticks.pdf,"Tue, 07 Nov 2006 13:20:56 GMT",Insect Bites and Stings: Ticks--Lyme Disease Brochure,"Brochure detailing signs and symptoms and treatment of Ticks, Lyme Disease",N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0029,http://www.nclabor.com/ash/safetytips/stings_rmsf.pdf,"Tue, 07 Nov 2006 13:20:53 GMT",Insect Bites and Stings: Ticks--Rocky Mountain Spotted Fever Brochure,"Brochure detailing signs and symptoms and treatment of ticks, Rocky Mountain Spotted Fever",N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0551,http://www.nclabor.com/osha/etta/exampleprograms/Mobile_Crane_Monthly_Inspection.doc|http://www.nclabor.com/osha/etta/exampleprograms/Monthly_Building_Inspection_SP.doc,"Thu, 10 Jul 2014 20:34:44 GMT",Inspection of Construction Crane,These documents contain customizable example monthly checklists for mobile cranes.  They are available in English and Spanish.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0392,http://www.nclabor.com/osha/compliance/directives/CPL_2-1_34.pdf,"Fri, 02 Jul 2010 13:47:13 GMT",Inspection Policy and Procedures for Steel Erection in Construction,Inspection Policy and Procedures for Steel Erection in Construction,N,N,OSH,OSH Enforcement Procedures,,Compliance Directive,,,,,,,,,,
L0141,http://www.nclabor.com/elevator/Memos/Compliance_Inspections.pdf,"Tue, 17 May 2016 22:00:44 GMT",Inspection Requirements for Permitted Work,Notice explaining requirments for inspectoin pf permitted elevator work before putting unit back into operation.,N,N,Elevator,,,,,,,,,,,,,
L0417,http://www.nclabor.com/osha/compliance/publicopn/opn129a.pdf,"Wed, 07 Jul 2010 15:34:48 GMT",Interim Inspection Procedures for Blasting Operations in the Construction Industry,Interim Inspection Procedures for Blasting Operations in the Construction Industry,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0020,http://www.nclabor.com/ash/publications/ASHinterps.pdf,"Thu, 12 Sep 2013 01:50:44 GMT",Interpretations for the Inspection of Temporary Labor Camps,Guide for interpretation for inspection of temporary labor camps,N,N,ASH,Publications,OSH Industry Guides,,,,,,,,,,,
L0003,http://www.nclabor.com/ash/ash_blue_book.pdf,"Thu, 27 Mar 2008 18:13:23 GMT",Introduction to Migrant Housing Inspections in North Carolina,"This publication explains the current legal requirements, the standards that migrant housing must meet, and the inspection procedures that are used.",N,,ASH,Publications,OSH Industry Guides,,,,,,,,,,,
L0471,http://www.nclabor.com/osha/etta/books/BMI_WorkSafe101Basics%5BElectronic%5D.pdf,"Tue, 14 Feb 2017 22:53:04 GMT",It's your Choice Safe or Sorry,Book with an overview of safe or sorry workplace safety,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0366,http://www.nclabor.com/news/ledger/15Jan_Feb.pdf,"Fri, 06 Feb 2015 18:33:55 GMT",January-February 2015,Articles in this issue include: Two Truckers Toy Stores Receive SHARP; Time to Apply for Safety Awards; Labor Department Recognizes Leland Facility,N,N,Communications,Labor Ledger,,,,,,,,,,,,
L0539,http://www.nclabor.com/osha/etta/exampleprograms/Job_Hazard_Analysis_Program.doc,"Thu, 10 Jul 2014 20:23:06 GMT",Job Hazard Analysis,This document contains a customizable example job hazard analysis program.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0541,http://www.nclabor.com/osha/etta/exampleprograms/Jobsite_Safety_Checklist_(long_ver).doc|http://www.nclabor.com/osha/etta/exampleprograms/Jobsite_Safety_Checklist_(short_ver).doc,"Thu, 10 Jul 2014 20:29:37 GMT",Jobsite Inspection Checklist,These documents contain customizable checklists for jobsite safety.  A short version and long version are availble.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0236,http://www.nclabor.com/laborlaws.pdf,"Tue, 02 Aug 2016 18:22:23 GMT",Labor Laws,This publication contains links to relevant statutes and rules.,Y,N,Wage and Hour,Manuals,,,,,,,,,,,,
L0486,http://www.nclabor.com/osha/etta/brochures/br700.pdf,"Wed, 01 Mar 2017 20:36:10 GMT",Labor One Mobile Training Unit Brochure,Brochure with an overview of Labor One Mobile Training Unit,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0483,http://www.nclabor.com/osha/etta/brochures/br3000.pdf,"Tue, 28 Mar 2017 01:13:50 GMT",Library a Guide for the Public Brochure,Brochure with an overview of the Library,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0247,http://www.nclabor.com/lib/LibraryLoanAgreement.doc|http://www.nclabor.com/lib/LibraryLoanAgreement.pdf,"Tue, 18 Sep 2012 18:47:13 GMT",Library Loan Agreement,Form to complete when wanting to borrow videos from the NCDOL Library,N,N,OSH,Forms,,,,,,,,,,,,
L0051,http://www.nclabor.com/boiler/insurance_reports/Boiler_Online_Reports/NCFOIA_ACTIVE.pdf,"Wed, 26 Apr 2017 15:02:16 GMT",Location Detail With All Contacts - Active,This document provides location and information of all active boilers and pressure vessels across the state.,N,N,Boiler,Reports,,,,,,,,,,,,
L0052,http://www.nclabor.com/boiler/insurance_reports/Boiler_Online_Reports/NCFOIA.pdf,"Wed, 26 Apr 2017 15:02:08 GMT",Location Detail With All Contacts - All,This document provides location and information of all boilers and pressure vessels across the state.,N,N,Boiler,Reports,,,,,,,,,,,,
L0545,http://www.nclabor.com/osha/etta/exampleprograms/Lockout_Tagout_Program_(long_ver).doc,"Thu, 10 Jul 2014 20:33:10 GMT",Lockout/Tagout Program (Long Version),These documents contains customizable example lockout/tagout programs.  A short version and long version are availble.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0547,http://www.nclabor.com/osha/etta/exampleprograms/Lockout_Tagout_Program_(short_ver).doc,"Thu, 10 Jul 2014 20:33:52 GMT",Lockout/Tagout Program (Short Version),These documents contains customizable example lockout/tagout programs.  A short version and long version are availble.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0428,http://www.nclabor.com/osha/compliance/publicopn/opn147.pdf,"Sat, 02 Apr 2016 00:24:00 GMT","Logging Operations, Inspection Procedures and Interpretive Guidance"," This Operational Procedure Notice (OPN) establishes NCDOL Occupational Safety and Health (OSH) Division policies and provides clarification to ensure uniform enforcement of the Logging Operations standard29 CFR 1910.266. ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0549,http://www.nclabor.com/osha/etta/exampleprograms/Luffing_Tower_Crane_Preshift_Inspection.doc,"Thu, 10 Jul 2014 21:25:56 GMT",Luffing Tower Crane (For Crane Operators),This document contains a customizable example pre-shift inspection checklist for luffing tower cranes.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0473,http://www.nclabor.com/osha/etta/brochures/br1000.pdf,"Tue, 28 Mar 2017 01:13:50 GMT",Medical and Dental Offices Brochure,Brochure with an overview of medical and dental offices,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0147,http://www.nclabor.com/elevator/Memos/Elev_Co_2007_B44_code.pdf,"Thu, 12 Mar 2015 02:37:39 GMT",Memo: Cat 5 Rupture Valve Test,Memo detailing cat 5 rupture valve test applicability,N,N,Elevator,,,,,,,,,,,,,
L0490,http://www.nclabor.com/osha/etta/brochures/br900.pdf,"Fri, 03 Mar 2017 18:19:58 GMT",MESH Brochure,Brochure with an overview of MESH,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0013,http://www.nclabor.com/ash/echklist.pdf|http://www.nclabor.com/ash/schklist.pdf,"Tue, 01 Mar 2011 00:49:56 GMT",Migrant Housing Inspection Checklist,These checklists are used for migrant housing inspections.  They are available in English and Spanish.,N,N,ASH,OSH Example Programs,,,,,,,,,,,,
L0659,http://www.nclabor.com/osha/etta/safety_programs/Million_Hour_App.pdf,"Sat, 07 Jan 2012 02:17:00 GMT",Million Hour Award Application ,,N,N,OSH,Forms,,,,,,,,,,,,
L0555,http://www.nclabor.com/osha/etta/exampleprograms/Monthly_Building_Inspection.doc,"Thu, 10 Jul 2014 20:35:10 GMT",Monthly Building Inspection Form,This document contains a customizable example checklist for monthly building inspections.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0195,http://www.nclabor.com/elevator/online_forms/1954.pdf,"Tue, 12 Apr 2011 22:31:02 GMT",NC Amusement Star Safety Check Form,NC Amusement Star Safety Check Form,N,N,Elevator,,,,,,,,,,,,,
L0785,http://www.nclabor.com/posters/English/Labor_Law_Poster_English.pdf|http://www.nclabor.com/posters/Spanish/Labor_Law_Poster_Spanish.pdf,"Thu, 26 Jan 2017 02:49:01 GMT",NC Labor Laws,This poster contains the NC Labor Laws. It is available in English and Spanish.,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0789,http://www.nclabor.com/posters/PosterPatch.pdf,"Tue, 26 Jul 2016 22:58:46 GMT",NC Labor Laws Poster Patch,This patch contains updates applicable to any posters printed 12/14 or earlier (as found in the bottom right-hand corner of the printed poster).,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0474,http://www.nclabor.com/osha/etta/brochures/br1050.pdf,"Wed, 01 Mar 2017 20:43:30 GMT",NCDOL Brochure,Brochure with an overview on NCDOL,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0218,http://www.nclabor.com/fatality_factsheets/commtower.pdf,"Sat, 07 Mar 2015 00:56:25 GMT",NCDOL Investigates Communication Towers,Fact sheet on the investigation process for communication towers,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0219,http://www.nclabor.com/fatality_factsheets/confined_space.pdf,"Tue, 23 Dec 2014 02:15:44 GMT",NCDOL Investigates Confined Space Accident,Fact sheet on the investigation process for confined space accident,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0220,http://www.nclabor.com/fatality_factsheets/cranes.pdf,"Sat, 07 Mar 2015 00:42:42 GMT",NCDOL Investigates Crane Accident,Fact sheet on the investigation process for crane accident,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0221,http://www.nclabor.com/fatality_factsheets/electrocution.pdf,"Tue, 23 Dec 2014 02:28:14 GMT",NCDOL Investigates Electrocutions,Fact sheet on the investigation process for Electrocution,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0222,http://www.nclabor.com/fatality_factsheets/fall_from_ladder.pdf,"Fri, 06 Mar 2015 22:41:57 GMT",NCDOL Investigates Fall from Ladder,Fact sheet on the investigation process for fall from ladder,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0223,http://www.nclabor.com/fatality_factsheets/fall_from_roof.pdf,"Fri, 06 Mar 2015 23:05:39 GMT",NCDOL Investigates Fall from Roof,Fact sheet on the investigation process for fall from roof,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0230,http://www.nclabor.com/fatality_factsheets/scaffold.pdf,"Wed, 25 Mar 2015 19:30:09 GMT",NCDOL Investigates Fall From Scaffolding,Fact sheet on investigation process for fall from scaffolding,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0224,http://www.nclabor.com/fatality_factsheets/forklift.pdf,"Fri, 06 Mar 2015 23:06:57 GMT",NCDOL Investigates Forklift Fatality,Fact sheet on the investigation process for forklift fatality,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0225,http://www.nclabor.com/fatality_factsheets/general_info.pdf,"Wed, 14 Jan 2015 01:09:19 GMT",NCDOL Investigates General Information,Fact sheet on general information of the investigation process ,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
L0229,http://www.nclabor.com/fatality_factsheets/PSM.pdf,"Tue, 23 Dec 2014 02:53:58 GMT",NCDOL Investigates Hazardous Chemical Release,Fact sheet on investigation process for hazardous chemical release,Y,N,OSH ,Publications,Fact Sheets,,,,,,,,,,,
